variable,missing,model,problem,fold,score,mae,rmse
sbh4n,36441,lin,reg,1,1.0,0.0,0.0
sbh4n,36441,lin,reg,2,1.0,0.0,0.0
sbh4n,36441,lin,reg,3,1.0,0.0,0.0
sbh4n,36441,lin,reg,4,1.0,0.0,0.0
sbh4n,36441,lin,reg,5,1.0,0.0,0.0
sbh4n,36441,lin,reg,6,1.0,0.0,0.0
sbh4n,36441,lin,reg,7,1.0,0.0,0.0
sbh4n,36441,lin,reg,8,1.0,0.0,0.0
sbh4n,36441,lin,reg,9,1.0,0.0,0.0
sbh4n,36441,lin,reg,10,1.0,0.0,0.0
sbh4n,36441,tree,reg,1,0.8677150786308974,0.4425287356321839,0.9065534073951573
sbh4n,36441,tree,reg,2,0.8582834331337326,0.40229885057471265,0.9033780792243016
sbh4n,36441,tree,reg,3,0.8481262327416174,0.45977011494252873,0.9407749312478345
sbh4n,36441,tree,reg,4,0.8578066914498141,0.40804597701149425,0.9377154924749757
sbh4n,36441,tree,reg,5,0.856687898089172,0.38285714285714284,0.8783100656536799
sbh4n,36441,tree,reg,6,0.8614157527417747,0.38285714285714284,0.8912270834561269
sbh4n,36441,tree,reg,7,0.8530499075785583,0.44,0.9531901324349873
sbh4n,36441,tree,reg,8,0.864406779661017,0.4114285714285714,0.8815570640309436
sbh4n,36441,tree,reg,9,0.8486187845303867,0.38285714285714284,0.8847921466972584
sbh4n,36441,tree,reg,10,0.8416347381864623,0.3657142857142857,0.841766849294642
sbh4n,36441,knn,reg,1,1.0,0.0,0.0
sbh4n,36441,knn,reg,2,1.0,0.0,0.0
sbh4n,36441,knn,reg,3,1.0,0.0,0.0
sbh4n,36441,knn,reg,4,1.0,0.0,0.0
sbh4n,36441,knn,reg,5,1.0,0.0,0.0
sbh4n,36441,knn,reg,6,1.0,0.0,0.0
sbh4n,36441,knn,reg,7,1.0,0.0,0.0
sbh4n,36441,knn,reg,8,1.0,0.0,0.0
sbh4n,36441,knn,reg,9,1.0,0.0,0.0
sbh4n,36441,knn,reg,10,1.0,0.0,0.0
sbh1n,35813,lin,reg,1,0.6913422582349833,1.5493910690121786,3.0796815468991645
sbh1n,35813,lin,reg,2,0.7306744342370604,1.4749661705006767,2.851773419707072
sbh1n,35813,lin,reg,3,0.7372669699402372,1.4527027027027026,2.8214908844103697
sbh1n,35813,lin,reg,4,0.7071617790584189,1.4202702702702703,2.918024137128558
sbh1n,35813,lin,reg,5,0.6903405326619849,1.5743243243243243,3.0780390387914713
sbh1n,35813,lin,reg,6,0.7004148645070174,1.5324324324324323,3.028691627249789
sbh1n,35813,lin,reg,7,0.6992451154529307,1.5662162162162163,3.025343402442556
sbh1n,35813,lin,reg,8,0.8597828597828598,0.904054054054054,1.5686971698867858
sbh1n,35813,lin,reg,9,0.4625,1.5594594594594595,3.068144962923609
sbh1n,35813,lin,reg,10,0.6959871013973487,1.5243243243243243,3.028691627249789
sbh1n,35813,tree,reg,1,0.8519464505901004,0.42219215155615697,2.1329301603691055
sbh1n,35813,tree,reg,2,0.8013892000896258,0.4465493910690122,2.448937247063331
sbh1n,35813,tree,reg,3,0.808090268486308,0.4743243243243243,2.4114030904983235
sbh1n,35813,tree,reg,4,0.8247897011665195,0.3864864864864865,2.2571208639757407
sbh1n,35813,tree,reg,5,0.830175345611943,0.4418918918918919,2.279461766721685
sbh1n,35813,tree,reg,6,0.8034248389089946,0.47297297297297297,2.4533485115080813
sbh1n,35813,tree,reg,7,0.7958703374777976,0.4635135135135135,2.492420944014506
sbh1n,35813,tree,reg,8,0.824901824901825,0.327027027027027,1.7529897241492811
sbh1n,35813,tree,reg,9,0.7966820987654322,0.35,1.8870110786136924
sbh1n,35813,tree,reg,10,0.8367968470082408,0.43513513513513513,2.21908186516954
sbh1n,35813,knn,reg,1,1.0,0.0,0.0
sbh1n,35813,knn,reg,2,1.0,0.0,0.0
sbh1n,35813,knn,reg,3,1.0,0.0,0.0
sbh1n,35813,knn,reg,4,1.0,0.0,0.0
sbh1n,35813,knn,reg,5,1.0,0.0,0.0
sbh1n,35813,knn,reg,6,1.0,0.0,0.0
sbh1n,35813,knn,reg,7,1.0,0.0,0.0
sbh1n,35813,knn,reg,8,1.0,0.0,0.0
sbh1n,35813,knn,reg,9,1.0,0.0,0.0
sbh1n,35813,knn,reg,10,1.0,0.0,0.0
sbh3n,36359,lin,reg,1,0.7941176470588236,0.49193548387096775,0.8566626919283549
sbh3n,36359,lin,reg,2,0.9621513944223108,0.07661290322580645,0.2767903597053309
sbh3n,36359,lin,reg,3,0.7983963344788088,0.45161290322580644,0.842423539174232
sbh3n,36359,lin,reg,4,0.8375,0.3911290322580645,0.759350316537635
sbh3n,36359,lin,reg,5,0.85,0.3790322580645161,0.7295601856708801
sbh3n,36359,lin,reg,6,0.8666666666666667,0.3548387096774194,0.6897872509788096
sbh3n,36359,lin,reg,7,0.8311057108140948,0.3895582329317269,0.7471498723327922
sbh3n,36359,lin,reg,8,0.8166047087980174,0.3614457831325301,0.7709588251263232
sbh3n,36359,lin,reg,9,0.8183908045977011,0.44176706827309237,0.7965790309884148
sbh3n,36359,lin,reg,10,0.8134328358208955,0.37751004016064255,0.7761505257063329
sbh3n,36359,tree,reg,1,0.833710407239819,0.2217741935483871,0.7698973538621048
sbh3n,36359,tree,reg,2,0.8685258964143426,0.1693548387096774,0.515876954571596
sbh3n,36359,tree,reg,3,0.843069873997709,0.24596774193548387,0.7432491875802554
sbh3n,36359,tree,reg,4,0.8556818181818182,0.23790322580645162,0.7156093726283553
sbh3n,36359,tree,reg,5,0.8625,0.2217741935483871,0.6985006985010478
sbh3n,36359,tree,reg,6,0.8497175141242937,0.2217741935483871,0.7323184570804188
sbh3n,36359,tree,reg,7,0.8663426488456865,0.21686746987951808,0.6646556012500703
